ne|vecproj|er-own|sgd|std1	0.7946	nan	nan	0.0078	0.0086	0.3674
ne|vecproj|er-own|adam|std1	0.8826	nan	nan	0.2050	0.4589	0.2084
ne|vecproj|nobuf|sgd|std1	0.5264	nan	nan	0.0090	0.0095	0.0576
ne|vecproj|nobuf|adam|std1	0.2767	nan	nan	0.2119	0.3474	0.2300
ne|vecproj|buf-own|sgd|std1	0.4299	nan	nan	1.7906	1.8439	1.0740
ne|vecproj|buf-own|adam|std1	0.6185	nan	nan	0.3517	0.6243	0.5457
ne|vecproj|er-own|sgd|std0	0.7922	nan	nan	0.0065	0.0073	0.3278
ne|vecproj|er-own|adam|std0	0.8730	nan	nan	0.1837	0.3883	0.1966
ne|vecproj|nobuf|sgd|std0	0.5563	nan	nan	0.0069	0.0073	0.0397
ne|vecproj|nobuf|adam|std0	0.3164	nan	nan	0.1735	0.2902	0.1954
ne|vecproj|buf-own|sgd|std0	0.4414	nan	nan	1.5865	1.6292	1.0198
ne|vecproj|buf-own|adam|std0	0.5895	nan	nan	0.3011	0.5157	0.4541
ne|emb_all|er-own|sgd|std1|cum	0.7258	nan	nan	0.0010	0.0012	0.0563
ne|emb_all|er-own|adam|std1|cum	0.8880	nan	nan	0.0244	0.0672	0.0549
ne|emb_all|nobuf|sgd|std1|cum	0.6251	nan	nan	0.0007	0.0007	0.0072
ne|emb_all|nobuf|adam|std1|cum	0.3645	nan	nan	0.0260	0.0378	0.0340
ne|vec_h1|er-own|sgd|std1|cum	0.8605	nan	nan	0.0363	0.0399	0.7172
ne|vec_h1|er-own|adam|std1|cum	0.1011	nan	nan	13034.3786	13122.6188	23964.7673
ne|vec_h1|nobuf|sgd|std1|cum	0.4816	nan	nan	0.0484	0.0558	0.8622
ne|vec_h1|nobuf|adam|std1|cum	0.0983	nan	nan	6848.0853	7995.8806	9459.7104
ne|vec_h1proj|er-own|sgd|std1|cum	0.8176	nan	nan	0.0102	0.0117	0.4649
ne|vec_h1proj|er-own|adam|std1|cum	0.8507	nan	nan	0.1893	0.4076	0.2384
ne|vec_h1proj|nobuf|sgd|std1|cum	0.4834	nan	nan	0.0167	0.0178	0.1265
ne|vec_h1proj|nobuf|adam|std1|cum	0.3177	nan	nan	0.1843	0.2811	0.2146
ne|vec_x|er-own|sgd|std1|cum	0.8660	nan	nan	0.3095	0.3005	16.6815
ne|vec_x|er-own|adam|std1|cum	0.8112	nan	nan	24.4601	43.1983	107.4903
ne|vec_x|nobuf|sgd|std1|cum	0.4847	nan	nan	1.4981	1.7974	14.3149
ne|vec_x|nobuf|adam|std1|cum	0.2019	nan	nan	68.4929	123.1321	111.6577
head|NE_rise|er-own|sgd|std0	0.7225	0.7225	0.212	0.0000	0.0000	0.0000
head|NE_rise|er-own|adam|std0	0.8716	0.8717	0.211	0.0000	0.0000	0.0000
head|NE_rise|nobuf|sgd|std0	0.6296	0.6296	0.281	0.0000	0.0000	0.0000
head|NE_rise|nobuf|adam|std0	0.3435	0.3435	0.212	0.0000	0.0000	0.0001
head|NE_rise|buf-own|sgd|std0	0.6289	0.6288	0.212	0.0001	0.0001	0.0001
head|NE_rise|buf-own|adam|std0	0.3875	0.3877	0.212	0.0001	0.0002	0.0001
ne-split|vecproj|er-own|adam|std1	0.8914	nan	nan	0.0013	0.0009	0.0392
head-split|NE_emb|er-own|adam|std1	0.8886	0.8885	0.323	0.0000	0.0000	0.0021
ne-split|vecproj|nobuf|adam|std1	0.4312	nan	nan	0.0004	0.0002	0.0052
head-split|NE_emb|nobuf|adam|std1	0.3495	0.3494	0.275	0.0000	0.0000	0.0007
ne-split|vecproj|buf-own|adam|std1	0.3376	nan	nan	0.0062	0.0059	0.0383
head-split|NE_emb|buf-own|adam|std1	0.3644	0.3643	0.263	0.0000	0.0000	0.0049
