regime	mech	metric	opt	driver	arm	seed	acc	forget	probe	g_h0	g_h1	g_out	msd	n_miss	backbone_params	extra_params	param_ratio	buffer_bytes	fwd_train	bwd_train	fwd_infer	bwd_infer
normal	slope	classil	adam	w_absmax	live	42	0.895457	0.098786	0.211500	0.007979	0.007218	0.000000	0.000000	0.000000	478410.000000	6.000000	0.000000	3144000.000000	1.000000	1.000000	1.000000	0.000000
normal	slope	classil	adam	grad_norm	live	42	0.897105	0.097950	0.211500	0.000000	0.000000	0.000000	0.000000	161.000000	478410.000000	2.000000	0.000000	3144000.000000	1.000000	1.000000	1.000000	0.000000
normal	slope	classil	adam	grad_norm_layer	live	42	0.892056	0.102794	0.211500	0.000000	0.000000	0.000000	0.000000	161.000000	478410.000000	6.000000	0.000000	3144000.000000	1.000000	1.000000	1.000000	0.000000
normal	slope	classil	adam	grad_weight_ratio	live	42	0.896423	0.098329	0.211500	0.000000	0.000000	0.000000	0.000000	161.000000	478410.000000	6.000000	0.000000	3144000.000000	1.000000	1.000000	1.000000	0.000000
normal	slope	classil	adam	step_norm	live	42	0.894729	0.099632	0.211500	0.000000	0.000000	0.000000	0.000000	1.000000	478410.000000	6.000000	0.000000	3144000.000000	1.000000	1.000000	1.000000	0.000000
normal	slope	classil	adam	state01	live	42	0.896812	0.097336	0.667900	0.086191	0.087617	0.000000	0.026898	0.000000	478410.000000	12.000000	0.000000	3144000.000000	2.000000	1.000000	2.000000	0.000000
normal	temp	classil	adam	act_frac	live	42	0.901190	0.092765	0.467000	0.000000	0.000000	0.027349	0.031294	0.000000	478410.000000	2.000000	0.000000	3144000.000000	2.000000	1.000000	2.000000	0.000000
normal	temp	classil	adam	act_norm	live	42	0.898791	0.096463	0.289200	0.000000	0.000000	0.081602	0.232818	0.000000	478410.000000	2.000000	0.000000	3144000.000000	2.000000	1.000000	2.000000	0.000000
normal	temp	classil	adam	act_entropy	live	42	0.899397	0.095569	0.487600	0.000000	0.000000	0.035926	0.023581	0.000000	478410.000000	2.000000	0.000000	3144000.000000	2.000000	1.000000	2.000000	0.000000
normal	temp	classil	adam	act_pr	live	42	0.898483	0.096466	0.537900	0.000000	0.000000	0.019211	0.027611	0.000000	478410.000000	2.000000	0.000000	3144000.000000	2.000000	1.000000	2.000000	0.000000
normal	temp	classil	adam	w_fro	live	42	0.897550	0.097407	0.211500	0.000000	0.000000	0.000891	0.000000	0.000000	478410.000000	3.000000	0.000000	3144000.000000	1.000000	1.000000	1.000000	0.000000
normal	temp	classil	adam	w_l1	live	42	0.900170	0.094695	0.211500	0.000000	0.000000	0.000205	0.000000	0.000000	478410.000000	3.000000	0.000000	3144000.000000	1.000000	1.000000	1.000000	0.000000
normal	temp	classil	adam	w_absmean	live	42	0.898743	0.096021	0.211500	0.000000	0.000000	0.000438	0.000000	0.000000	478410.000000	3.000000	0.000000	3144000.000000	1.000000	1.000000	1.000000	0.000000
normal	temp	classil	adam	w_absmax	live	42	0.901113	0.093548	0.211500	0.000000	0.000000	0.003541	0.000000	0.000000	478410.000000	3.000000	0.000000	3144000.000000	1.000000	1.000000	1.000000	0.000000
normal	temp	classil	adam	grad_norm	live	42	0.901082	0.094068	0.211500	0.000000	0.000000	0.000000	0.000000	161.000000	478410.000000	1.000000	0.000000	3144000.000000	1.000000	1.000000	1.000000	0.000000
normal	temp	classil	adam	grad_norm_layer	live	42	0.898243	0.096527	0.211500	0.000000	0.000000	0.000000	0.000000	161.000000	478410.000000	3.000000	0.000000	3144000.000000	1.000000	1.000000	1.000000	0.000000
normal	temp	classil	adam	grad_weight_ratio	live	42	0.897612	0.097271	0.211500	0.000000	0.000000	0.000000	0.000000	161.000000	478410.000000	3.000000	0.000000	3144000.000000	1.000000	1.000000	1.000000	0.000000
normal	temp	classil	adam	step_norm	live	42	0.899205	0.095071	0.211500	0.000000	0.000000	0.000000	0.000000	1.000000	478410.000000	3.000000	0.000000	3144000.000000	1.000000	1.000000	1.000000	0.000000
normal	temp	classil	adam	state01	live	42	0.904508	0.091054	0.613000	0.000000	0.000000	0.089823	0.024819	0.000000	478410.000000	6.000000	0.000000	3144000.000000	2.000000	1.000000	2.000000	0.000000
normal	plast	taskil	sgd	act_frac	live	42	0.994003	0.003702	0.349700	4.456230	0.470988	0.112353	0.034407	0.000000	478410.000000	1620.000000	0.003400	3144000.000000	3.000000	2.000000	1.000000	0.000000
normal	plast	taskil	sgd	act_norm	live	42	0.092671	0.506344	0.211500	nan	nan	nan	0.000000	0.000000	478410.000000	1620.000000	0.003400	3144000.000000	3.000000	2.000000	1.000000	0.000000
normal	plast	taskil	sgd	act_entropy	live	42	0.994125	0.003980	0.371800	7.479007	0.754149	0.189989	0.017033	0.000000	478410.000000	1620.000000	0.003400	3144000.000000	3.000000	2.000000	1.000000	0.000000
normal	plast	taskil	sgd	act_pr	live	42	0.993412	0.003690	0.359400	2.430111	0.295049	0.062992	0.030929	0.000000	478410.000000	1620.000000	0.003400	3144000.000000	3.000000	2.000000	1.000000	0.000000
normal	plast	taskil	sgd	w_fro	live	42	0.994231	0.003067	0.211500	0.362500	0.085077	0.017206	0.000000	0.000000	478410.000000	2430.000000	0.005100	3144000.000000	2.000000	2.000000	1.000000	0.000000
normal	plast	taskil	sgd	w_l1	live	42	0.993824	0.003174	0.211500	0.288484	0.069222	0.014480	0.000000	0.000000	478410.000000	2430.000000	0.005100	3144000.000000	2.000000	2.000000	1.000000	0.000000
normal	plast	taskil	sgd	w_absmean	live	42	0.994326	0.002774	0.211500	0.288497	0.068941	0.014416	0.000000	0.000000	478410.000000	2430.000000	0.005100	3144000.000000	2.000000	2.000000	1.000000	0.000000
normal	plast	taskil	sgd	w_absmax	live	42	0.993539	0.003560	0.211500	2.664778	0.337035	0.068943	0.000000	0.000000	478410.000000	2430.000000	0.005100	3144000.000000	2.000000	2.000000	1.000000	0.000000
normal	plast	taskil	sgd	grad_norm	live	42	0.994231	0.002967	0.211500	0.000000	0.000000	0.000000	0.000000	160.000000	478410.000000	810.000000	0.001700	3144000.000000	2.000000	2.000000	1.000000	0.000000
normal	plast	taskil	sgd	grad_norm_layer	live	42	0.994231	0.002970	0.211500	0.000000	0.000000	0.000000	0.000000	160.000000	478410.000000	2430.000000	0.005100	3144000.000000	2.000000	2.000000	1.000000	0.000000
